名称,所属类别,2级类别,别称,出现时期,创作者,主要用途,概述,古籍记载,出现/主要使用地点,人为地点,经纬度
直辕犁,农具,整地农具,无,春秋战国时期,古代劳动人民（无确切记载）,直辕犁作为中国早期传统农具，其核心作用在于通过直形犁辕结构实现土壤深翻与破碎。该器具采用铁制犁铧与木质框架相结合，利用畜力牵引时，犁铧入土深度可达20-30厘米，能有效打破土壤板结层，将下层生土翻至地表进行风化改良，同时将表层熟土与有机质埋入耕作层底部，为旱地作物根系发育创造疏松透气的土壤环境。,北方旱地翻耕核心农具，长辕结构适配畜力牵引，实现土壤深翻与垄沟开掘。,《考工记》等古籍中有关于直辕犁的记载，反映了其结构和用途。,中国北方（尤其黄河流域）,河南;洛阳市,"112.44,34.7"
耙,农具,整地农具,铁齿楱、耙子,汉代,古代劳动人民（无确切记载）,耙的主要功能体现在耕作后期的土壤细化整理阶段。其锐利铁齿排列间距约10-15厘米，在畜力牵引下以倾斜角度切入土块，通过往复运动将直辕犁翻起的土块二次破碎，同时清除田间残留根茬与石块。特殊设计的耙齿排列方式可形成波浪形耙痕，有效改善土壤毛细管结构，为播种创造平整细碎的苗床基础。,耙的使用大大提高了农业生产效率，使翻起的土垡变得细碎疏松，有利于后续的播种和作物生长。,北魏贾思勰著《齐民要术》中提到“铁齿楱”，并称使用此农具的作业为“耙”。元代《王祯农书》记载有方耙、人字耙、耢（无齿耙）和耖（水田用耙）。,北方旱作地区和南方水田地区,河北;石家庄市,"114.49,38.04"
耱,农具,整地农具,耢、盖,至少在西汉时期已经出现,古代劳动人民（无确切记载）,耱的核心作用在于土壤表层精细化处理。由荆条编织的耱体宽约1.5米，使用时配重石块置于耱架，通过横向拖拽形成连续碾压。该过程不仅能进一步粉碎5厘米表层土块，更通过压实作用使土壤与底墒紧密接触，减少水分蒸发。经耱处理的田地表层形成1-2厘米细密保护层，既保墒防旱，又为种子萌发提供理想接触面。,耱的使用有助于改善土壤结构，增强土壤保水性，为播种创造良好条件，提高农业生产效率。,古籍记载《齐民要术》中提到“耕而不耢，不如做暴”的谚语，说明耱在古代农业生产中的重要性。,黄河流域,山西;运城市,"111.0,35.0"
耒耜,农具,整地农具,无,中国的新石器时代晚期,传说中，耒耜是由炎帝神农氏发明的,耒耜作为早期木质耕作器具，其双齿结构特别适用于黏重土壤的初始开垦。前段分叉的耒头可插入土中20厘米，通过杠杆原理撬动土块，配合脚踏横木增加下压力。这种往复式点状翻耕方式，能在石器时代的生产力条件下有效破碎原始植被根系，逐步将荒地转化为可耕作田，为后续农具发展奠定技术基础。,中国古代最早的耕地农具,易经·系辞下》记载：“神农氏作，斫木为耜，揉木为耒，耒耜之利，以教天下。”《礼记·月令》中提到“天子亲载耒耜”。,黄河流域和长江流域,陕西;西安市,"108.95,34.27"
犁壁,农具,整地农具,犁耳、犁镵、犁镜、犁碗、犁钵,在西汉时期已经出现,古代劳动人民（无确切记载）,犁壁作为曲辕犁核心部件，其曲面铁制结构在耕作中产生关键性改良作用。当犁体前进时，犁壁曲面以45°倾角将犁铧切开的土垡进行侧向翻转，使土块沿曲面完成180°完全翻转。这种翻垡机制不仅能彻底掩埋地表杂草作为绿肥，更通过改变土壤层次促进矿物质氧化，显著提升黄土地区的土壤活化效率。,犁壁的出现是耕犁技术的重大进步，使耕犁不仅能松土，还能翻土、成垅、除草、灭虫，极大地提高了整地质量和农业生产效率。,唐代陆龟蒙在《耒耜经》中提到犁壁的作用：“覆其者，壁也。草之生必布于，不覆之则无以绝其本根。”,陕西、河南、山东等地,河南;南阳市,"112.54,33.0"
曲辕犁,农具,整地农具,江东犁,最早出现于唐代后期,古代劳动人民（无确切记载）,"曲辕犁在水田环境中的特殊适应性体现在其结构优化。缩短的犁辕配合可调节犁箭，使操作转向灵活性提高40%，便于在泥泞水田中控制耕深。弧形犁底设计减少行进阻力，使单牛牵引即可完成耕作。其特有的""窜垡""功能可形成20厘米宽垄沟，既利于水稻根系发育，又构建出合理的水体流动通道。",曲辕犁的出现标志着中国古代耕作农具的成熟，是中国古代农业技术的重大进步。它提高了耕作效率，节省了人力和畜力，对后世农业生产产生了深远影响。,最早见于唐代陆龟蒙的《耒耜经》，书中详细记载了曲辕犁由11个部件组成，包括犁铧、犁壁、犁底、压镵、策额、犁箭、犁辕、犁梢、犁评、犁建和犁盘。,唐代后期的江东地区（今江苏、浙江一带）,浙江;杭州市,"120.21,30.26"
水田耙,农具,整地农具,耖田耙,魏晋南北朝时期,古代劳动人民（无确切记载）,水田耙专为水稻田整地设计，其宽幅板状结构具有双重功能。前部6-8排铁制钉齿负责破碎犁耕后的土块，后部平板则通过液压作用将泥浆压实整平。作业时水深控制在3-5厘米，耙体以特定角度切入泥浆，既能保持田面5厘米松软耕作层，又可形成2厘米平整度误差内的精确田面，确保水稻插秧深度均匀。,水田耙的出现完善了南方水田的耕作体系，提高了整地效率和质量，对水稻种植和产量提升起到了重要作用。,北魏《齐民要术》中提到“铁齿楱”用于耙地；元代《王祯农书》记载了水田用的耖田耙；宋代《耕织图》中详细描绘了水田耙的使用场景。,最早出现在岭南地区（今广东、广西一带）,广西;梧州市,"111.27,23.47"
耖相,农具,整地农具,无,不详,古代劳动人民（无确切记载）,"耖（耖相）在水田耕作体系中承担着精细平整任务。其梳齿状工作部件由36根竹条平行排列构成，作业时通过往复刮削消除田面微小起伏。特殊设计的活动齿座可根据泥浆稠度调节入土深度，在保持3厘米耕作层的同时，形成具有毛细作用的细腻泥浆层，为水稻移栽创造""水做毯""的理想界面。",水田精整专用工具，框式铁钉结构深度碎土荡平，确保泥浆细腻田面平整。,"见于《王祯农书》，称为""耖田平泥器""，详载其框钉结构及水田整平功能。",江南水田稻作区,江苏;苏州市,"120.62,31.32"
耧车,农具,播种农具,耧犁、耧、耙耧,西汉时期（公元前2世纪）,西汉赵过,耧车的核心价值在于实现精准条播。三脚铁制耧铧间距25厘米，可同步开沟、播种、覆土。种子箱内设置的排种装置通过振动板均匀分种，播种量可精确控制在每亩2.5-3公斤之间。配套的覆土环在播种后立即回填1.5厘米细土，既保墒又防鸟啄，使北方旱地谷类作物出苗率提升至85%以上。,是世界上最早的条播机，比西方早1700多年，对中国古代农业发展有重大意义。,《齐民要术》《王祯农书》《农政全书》等均有记载。,广泛用于北方平原地区,山东;济南市,"117.0,36.67"
点葫芦,农具,播种农具,窍瓠,至少在秦代已经出现,古代劳动人民（无确切记载）,点葫芦在播种作业中发挥定量点播功能。其葫芦形容器通过腰部隔板分隔上下腔体，上部储种量约0.5升，下部设可调式漏种孔。操作者通过敲击振动使种子定量下落，单次点种量可控制在3-5粒之间。配合丈量绳标记的固定株距，能实现20×30厘米的标准种植密度，特别适用于瓜类、豆类等经济作物的精量播种。,提高了小块农田的播种效率，尤其在地形复杂或小规模生产中具有优势,北魏《齐民要术》、元代《王祯农书》、明代《农政全书》均有详细记载。,主要用于北方小块农田或分散田地,河北;保定市,"115.46,38.87"
秧马,农具,播种农具,秧船、秧凳,汉唐时代,古代劳动人民（无确切记载）,秧马作为南方水稻种植专用器具，其核心功能体现在提高插秧效率与减轻劳动强度。木质船形底座长1.2米、宽30厘米，前端翘起设计减少泥浆阻力，操作者跨坐其上可保持身体平衡。配备的移栽支架可固定秧苗束，配合分秧板实现单手精准分秧，使单日插秧效率提升至2-3亩，较传统弯腰作业效率提高150%，同时有效避免长时间水田浸泡导致的腰肌劳损。,为后世农具发展提供启示‌,苏轼《秧马歌》,最早见于湖北武昌一带,湖北;武汉市,"114.27,30.57"
瓠种,农具,播种农具,窍瓠,最早可追溯至汉代,古代劳动人民（无确切记载）,瓠种的播种机制依托葫芦容器的特殊构造实现精量点播。成熟葫芦经脱水处理后形成天然储种腔，底部钻孔直径约0.8厘米，通过颈部绑扎木柄形成45°倾角播种器。操作时以节奏性敲击方式控制种子下落，单次落种量3-5粒，播种深度稳定在2-3厘米。其弧形腔体设计使种子流动顺畅，特别适用于水稻旱直播时在湿润田面上的精准布种。,古代农具的创新形式,《齐民要术》记载“两耧重构，窍瓠下之。”,中国北方黄河流域‌,河南;开封市,"114.34,34.79"
锄,农具,中耕农具,䦆、耰锄,新石器时期,古代劳动人民（无确切记载）,锄在中耕阶段发挥多维度功能，其宽刃结构（刃长25-30厘米）通过力学杠杆实现高效除草。刃口与地面形成15°切入角时，可同时切断杂草根系并松动5厘米表层土壤。弧形锄板设计使翻起的土块自然破碎，配合向后拖拽动作形成排水沟渠，既改善土壤通气性又增强雨季排涝能力，确保旱地作物根系发育环境。,象征农耕文明发展,《释名·释用器》《齐民要术》,古代中国为核心使用区域‌,陕西;咸阳市,"108.7,34.34"
漏锄,农具,中耕农具,小漏锄、漏子锄、笨锄,可能创制于清代中、晚期,古代劳动人民（无确切记载）,漏锄的特殊功能源于其刃部的镂空设计，在传统锄具基础上增设直径2-3厘米的圆形孔洞。作业时孔洞产生气流涡旋效应，使切断的杂草随气流向上抛撒，避免缠绕刃口。同时镂空结构减轻30%作业阻力，使单次挥锄作用面积增加至20×15厘米，特别适用于高密度种植田的快速中耕管理。,设计轻便省力，提高了中耕效率和质量,清末农书《农言著实》,中原及北方地区,河南;安阳市,"114.35,36.1"
