名称,所属类别,2级类别,时间,发源地,主要作用,重要意义,经纬度
围堰防洪,农业技术,山地水利,战国时期,江苏;扬州市,围堰防洪是在战国时期发展起来的一种水利工程技术，主要用于控制江苏扬州地区的洪水，通过建造堤坝和堰塞湖泊，有效地防止了洪水对农田和居民区的破坏，保障了当地农业生产和居民的生活安全。,围堰防洪技术在战国时期江苏扬州地区得以应用，充分体现了古代人民在水患频发的自然环境下，通过构筑围堰来截流拦控洪水的智慧。该技术不仅在防范洪水灾害、保护农田和居民生命财产方面发挥了重要作用，而且为后世水利工程建设提供了宝贵的实践经验和理论依据，对中国古代水利技术的发展具有深远而持久的历史影响。,"119.42,32.40"
闸坝调控,农业技术,山地水利,战国时期,江苏;扬州市,闸坝调控技术同样起源于战国时期，主要应用于江苏扬州地区。它通过修建闸门和水坝，调节水流的流向和水位，保证了农田的灌溉和排水，提高了农田的利用效率，同时也用于防止洪灾和干旱对农田的不利影响。,闸坝调控技术在战国时期江苏扬州地区的应用中展现了古人利用水闸与大坝相结合对水流进行科学调控的工程智慧。该技术通过有效调节水流量，不仅保证了农业灌溉的稳定供应，同时大大减轻了水患对社会经济和民生的破坏，对后代水利工程理论和实践的演进产生了不可磨灭的推动作用。,"119.42,32.40"
竹筒引水,农业技术,山地水利,西周,河南;商丘市,西周时期发展起来的竹筒引水技术，主要用于河南商丘市一带。它通过竹筒制成的水道，将远处的水源引入田间地头，解决了地势高低不平的区域农田的灌溉问题，有效地提高了农田的水资源利用率，推动了农业生产的发展。,竹筒引水技术在西周时期河南商丘地区得到了广泛应用，其充分体现了古代劳动人民利用竹材资源巧妙引导水流、解决灌溉难题的创新精神。该技术通过将竹筒作为天然导水管道，既提高了水资源利用效率，又为农业灌溉开辟了简便实用的新途径，深刻影响了后续水利工程和农田管理技术的发展方向。,"115.65,34.44"
山地蓄水池,农业技术,山地水利,汉朝,陕西;渭南市,汉朝时期开发的山地蓄水池技术，主要应用于陕西渭南市及周边地区。这种技术通过修建蓄水池，收集并储存雨水和山泉水，解决了山区农田的灌溉和干旱季节的用水问题，确保了农作物的正常生长和丰收。,山地蓄水池技术在汉代陕西渭南地区的实践中，展示了古人根据山地地形特征合理蓄积雨水、调配灌溉资源的独到见解。该技术通过在山区构筑蓄水设施，有效缓解了旱季水源不足的问题，不仅极大地保障了农业生产的连续性和稳定性，而且为后世区域水资源管理与水利工程设计提供了宝贵的历史经验和科学启示。,"109.50,34.52"
分水堰,农业技术,山地水利,秦朝,河南;郑州市,秦朝时期发展的分水堰技术，广泛应用于河南郑州市及周边地区。它通过修筑堰坝和水道，将河流水分流到不同的田间地头，调节水资源的分配，提高了农田的灌溉效率，同时也减少了洪水对农田的危害。,分水堰技术在秦代河南郑州地区的实际应用中，充分反映了古代工程师在水资源分配与管理方面的深厚智慧。该技术通过在河道分叉处修筑堰坝，精确控制水流的分配，不仅确保了农业灌溉用水的充足供应，同时在防洪抗灾方面发挥了积极作用，对后代水利设施的改进和技术传承具有重要的示范意义。,"113.65,34.76"
都江堰,农业技术,山地水利,秦朝,四川;成都市,秦朝时期建造的都江堰，位于四川成都市，主要用于解决当地的灌溉问题。这一工程利用水利工程手段，调节岷江水流，灌溉广阔的农田，保证了该地区农业的稳定发展，被称为中国古代水利工程的杰作。,都江堰工程作为秦代著名的水利工程项目，在四川成都地区得到了充分实施，其独特的无坝引水设计充分展现了古代工程技术与自然环境和谐共生的理念。该工程不仅实现了长期稳定的水资源分配和有效的防洪调控，而且极大地推动了当地农业生产和经济繁荣，其科学构想和工程实践对后世乃至世界水利工程技术产生了深远的示范和引领作用。,"104.06,30.67"
郑国渠,农业技术,山地水利,秦朝,河南;郑州市,秦朝时期修建的郑国渠，位于河南郑州市，主要用于解决黄河流域的灌溉问题。这一渠道工程通过引水和灌溉，提供了稳定的水源供应，改善了当地的农田生产条件，对推动黄河流域农业的发展起到了重要作用。,郑国渠工程作为秦代重要的水利工程项目，在河南郑州地区发挥了举足轻重的作用。该工程以科学规划和精准水资源调控为核心，不仅显著提高了农田灌溉效率，保障了农业生产的持续稳定，而且为后续水利设施建设积累了宝贵经验，对区域经济发展和社会稳定进步产生了不可替代的历史性影响。,"113.65,34.76"
坎儿井,农业技术,山地水利,汉朝,河北;邢台市,汉朝时期开发的坎儿井技术，位于河北邢台市，主要用于解决该地区的水源问题。坎儿井通过开凿井道，利用地下水资源进行灌溉，提高了农田的水分供给，增加了农作物的产量，对当地农业经济的发展起到了积极作用。,坎儿井技术在汉代河北邢台地区的应用中充分展示了古人因地制宜、利用地下水资源解决水源短缺问题的智慧。该技术通过构建地下引水系统，有效地缓解了山区及干旱区域水资源不足的矛盾，不仅促进了农业生产条件的改善，而且为后代水利工程设计和地下水资源开发提供了创新的思路和宝贵的实践经验，影响深远。,"114.48,37.07"
井渠结合,农业技术,山地水利,战国时期,暂无,战国时期发展起来的井渠结合技术，暂无特定发源地。这一技术结合了地下水的开采和水道的建设，通过灌溉系统的完善，优化了水资源的利用效率，提高了田间农作物的生长环境，对古代农业生产起到了重要促进作用。,井渠结合技术作为古代水利工程中的一种创新模式，尽管在战国时期的记载较为稀少，但其融合了井取地下水与渠道输水的双重优势，体现了古代人民在水资源综合利用上的独到见解。该技术在缓解局部地区水资源不足、提高农田灌溉效率和确保农业持续稳定发展方面起到了积极作用，为后世水利工程和农业灌溉技术的发展提供了重要的探索思路和历史借鉴。,","
粪肥堆沤,农业技术,发酵技术,战国时期,江苏;南京市,战国时期发展的粪肥堆沤技术，主要应用于江苏南京市一带。这种技术通过对动植物废弃物进行沤制，生成有机肥料，改善了土壤的肥力和结构，促进了农作物的生长，提高了农田的产量和土壤的持久生产力。,粪肥堆沤技术在战国时期江苏南京地区的农业生产中发挥了重要作用，其通过对畜禽粪便进行堆积发酵处理，转化为高效有机肥料，不仅大幅提高了土壤肥力和作物产量，同时实现了农业废弃物的资源化利用，推动了古代农业生产技术的革新，并对后代有机农业和生态农业的发展产生了深远的正面影响。,"118.78,32.04"
