名称,所属类别,2级类别,出现时间,诞生地点,文化解读,传播范围,主要意义,经纬度
混林农业,农业文化,生态智慧,起源不晚于先秦时期。,河南;洛阳市,混林农业作为中国古代生态智慧的典范，体现了古人对自然环境保护与合理开发利用的深刻认识。这种农业模式将农作物种植与天然林木保护有机结合，不仅提高了土地利用率，还有效维护了生态平衡，展示了人与自然和谐共生的理念与智慧，为后世提供了宝贵的可持续发展经验。,混林农业作为古代生态智慧的重要体现，其理念主要流传于我国南北山区和丘陵地带，在历代农民口传心授中不断丰富完善，现代生态农业建设中亦被纳入示范项目，其传播范围覆盖华东、华南及西南等区域，并逐步在全国范围内得到学术界和政府部门的重视与推广。,混林农业作为一种古代生态智慧的农业技术，其主要意义在于通过合理配置农田与林地之间的关系，调节生态系统内各类生物的平衡与相互作用，从而实现自然资源的可持续利用。该技术不仅在当时促进了农耕区域生态环境的改善和生物多样性的保护，而且为后世生态农业的发展奠定了科学合理的理论基础，具有深远的历史和实践意义。,"112.44,34.70"
鸭稻共作,农业文化,生态智慧,起源不晚于宋代。,江苏;苏州市,鸭稻共作是一种独具特色的农业耕作模式，其核心在于将稻田养鸭相互配合，通过鸭子在稻田中的觅食活动实现病虫害的自然防控，同时利用鸭粪为稻田提供有机肥料，从而促进水稻生长。这种模式充分体现了古人因地制宜、综合利用资源的智慧，具有深厚的生态文明内涵。,鸭稻共作模式起源于传统农耕实践，其独特的生态循环系统在江南水乡等地区广泛应用，通过农业科普、地方民俗及现代农业示范基地的推广，该模式已在全国各适宜地区得到传播，成为中国传统生态智慧的重要代表。,鸭稻共作是一项将养鸭与水稻种植有机结合的农业模式，其主要意义在于利用鸭群自然觅食、驱除害虫的优势，降低化学农药的使用，并通过鸭粪提高土壤肥力，从而实现生态农业的高效循环。此模式在古代既优化了农田生态系统，又为后世提供了低投入、高产出、环境友好的种植理念，促进了农业技术和生态智慧的传承与创新。,"120.58,31.30"
草田轮作,农业文化,生态智慧,起源不晚于春秋战国时期。,河南;郑州市,草田轮作作为一种古代农业耕作方式，在作物种植与牧草利用之间形成良性循环。通过合理规划作物与牧草的轮作，不仅改善了土壤结构和肥力，同时也有效减少了病虫害的发生，反映了古人对农田生态系统动态平衡的深刻理解和对可持续农业发展的追求。,草田轮作作为古人总结土地利用与作物更替的重要方法，其理论和实践在华北、华东及西南部分农业区通过民间传承、农业科技推广和学校教材中广为传播，现已成为我国传统农耕管理模式的重要组成部分，覆盖全国各地。,草田轮作作为古代农业中一种独具特色的轮作耕作模式，其主要意义在于通过间隔种植草类作物与粮食作物，有效恢复土壤养分和保持土壤结构稳定，防止土地长期单作带来的退化问题。此耕作方式在当时大幅提升了农田的持续生产能力，对后世农业可持续发展理念的形成和生态农业技术的推广具有重要的示范作用。,"113.65,34.76"
梯田护坡,农业文化,生态智慧,起源不晚于汉代。,云南;元阳县,梯田护坡是古代农耕文化中重要的农业工程实践，其主要作用在于利用梯田进行水土保持和防止水土流失。古人巧妙地因地制宜开凿梯田，并通过合理布局和结构设计，将陡坡转化为可耕作的梯级农田，从而实现了农业生产与环境保护的有机统一。,梯田护坡技术在我国山区农业中尤为典型，其构筑方法既防止了水土流失又提高了土地利用率，通过地方志书、民间节庆和现代农业改造示范，该技术在西南、东南及其他山区广泛传承，传播范围覆盖全国重点山区。,梯田护坡是利用山地地形开垦梯田并采取护坡措施的一项古代农业工程，其主要意义在于有效防止水土流失、保持土壤肥力和稳定山体结构，从而保障山区农田长期稳定的灌溉和生产。该技术在当时极大改善了山区生态环境，对后代农业水土保持以及山区生态农业建设产生了深远的历史影响和科学借鉴价值。,"102.03,23.01"
坎儿井,农业文化,水利工程,约始建于汉代。,新疆;吐鲁番市,坎儿井作为古代水利工程的杰出代表，是一种依靠地下水流自流灌溉的水利系统。它通过巧妙构建地下水道网络，不仅解决了干旱地区农田灌溉问题，还充分展示了古人利用地形地貌和水文条件进行科学管理的卓越智慧和实践能力。,坎儿井作为我国古代水利工程的杰出代表，其独特的地下引水技术主要在新疆、甘肃等干旱地区流传，并通过地方考古、文献记载和旅游文化推广，在全国水利工程研究及科普宣传中得到广泛传播。,坎儿井作为古代干旱地区独创的一种地下引水工程，其主要意义在于通过顺应自然地形挖掘地下水道，实现水资源的长距离无损输送，解决了干旱区域农业灌溉和居民生活用水问题。此项技术在古代促进了边远干旱地区的经济社会发展，并为后世水利工程技术的发展和水资源管理提供了宝贵的实践经验和理论参考。,"89.18,42.96"
都江堰,农业文化,水利工程,始建于公元前256年，由秦国蜀郡太守李冰父子主持修建。,四川;成都市,都江堰是中国古代水利工程的瑰宝，其设计理念基于“无坝而治水”，巧妙利用自然地势和水流规律实现水资源调控。该工程不仅有效防洪抗旱，还大幅提高了农田灌溉效率，充分体现了古代劳动人民的智慧与实践能力，对后世水利建设具有深远影响。,都江堰作为世界文化遗产，其科学灌溉系统自古以来就在四川乃至全国范围内享有盛誉，通过文献记载、旅游宣传和现代工程技术研究，都江堰的理念不仅在国内普及，还通过国际文化交流传播到全球各国和地区。,都江堰作为古代著名的水利工程，其主要意义在于凭借巧妙的工程设计实现了天然无坝灌溉，有效调控了水流量和防治了洪涝灾害，保证了四川盆地农业的长期稳定发展。该工程不仅在古代大大推动了区域经济繁荣和社会稳定，而且对后世水利工程设计理念、区域经济协调发展及生态环境保护产生了不可磨灭的深远影响。,"104.06,30.67"
宁夏引黄,农业文化,水利工程,起源不晚于汉代，古代宁夏地区即有引黄灌溉工程的萌芽。,宁夏;银川市,宁夏引黄工程作为古代大型水利调水工程的重要典型，体现了古人对水资源区域调配和合理利用的高超智慧。该工程通过科学规划和工程技术，将黄河水引入干旱地区灌溉农田，既保障了农业生产需要，又促进了区域经济的发展，彰显了古代治水理念的先进性。,宁夏引黄工程体现了古代水利调配智慧，其水资源引调技术在宁夏及西北干旱区广泛应用，经过历史文献和现代水利工程的研究，在全国相关学术界和政府农业水利项目中得到推广，其传播范围覆盖西北及部分中原地区。,宁夏引黄工程作为古代水利调水技术的重要体现，其主要意义在于通过引导黄河水资源进入宁夏地区，根本性地缓解了当地长期存在的水资源短缺问题，为区域农业灌溉和经济发展提供了坚实保障。此工程在当时推动了西北地区的农业生产和生态改善，并为后世水资源合理分配和调控管理模式树立了典范，具有显著的历史贡献。,"106.27,38.47"
灵渠,农业文化,水利工程,起源可追溯于秦代，约建于公元前214年前后，其工程技术堪称古代水利工程的杰出典范。,广西;桂林市,灵渠作为中国古代水利工程的杰出代表之一，以其独特的引水原理和精巧的构造闻名于世。该工程充分利用天然地形和水流规律，实现了水资源的高效调度和利用，不仅推动了区域农业灌溉和经济发展，同时也成为古代工程技术和智慧的象征。,灵渠作为我国古代水利工程的重要成就，其独特的渠道设计和引水技术在广西等地流传甚广，通过文献、地方传说及现代旅游文化推广，该工程的智慧在全国范围内及部分国际学术交流中均受到关注。,灵渠是中国古代一项划时代的水利工程，其主要意义在于利用天然地形开凿水道，实现区域内水资源的高效配置和互联互通，极大促进了农业灌溉、交通运输与经济文化交流。该工程在当时不仅为区域发展提供了稳定的水利保障，而且对后世水利工程规划和区域一体化发展思路产生了深远而积极的影响，成为古代工程智慧的杰出代表。,"110.29,25.28"
木兰陂,农业文化,水利工程,起源不晚于明清时期。,江苏;苏州市,木兰陂作为古代水利调节工程的重要组成部分，其建设目的在于调蓄水资源、改善农田灌溉条件和防洪抗旱。工程在设计与构造上充分考虑自然地形和水文变化，展现了古人科学治理水利的严谨精神和卓越实践，为区域农业生产提供了有力保障。,木兰陂作为古代区域水利工程的代表，其调水蓄水技术主要在地方民间和区域农业项目中传承，虽然传播范围相对局限，但在相关省份的农业水利建设和文化遗产保护中具有一定影响，传播效果逐步扩大到周边地区。,木兰陂作为古代地方水利工程的一项重要实践，其主要意义在于通过构筑水库和调节设施，实现对区域内水资源的有效储备和调控，确保了农田灌溉和城乡供水的长期稳定运行。该技术在当时显著提高了农业生产力，改善了生态环境，对后代水利工程建设和区域经济协调发展具有示范作用，体现了古人顺应自然、合理利用水资源的智慧。,"120.58,31.30"
桑基鱼塘,农业文化,农业系统,起源不晚于明清时期。,江苏;扬州市,桑基鱼塘是一种集农业生产和水产养殖于一体的综合农业系统，其独特之处在于将桑树种植与鱼塘养殖相互融合，形成了互利共生的生态系统。古人通过这种模式实现了资源的高效利用和生态平衡，不仅丰富了农业产品种类，还提升了农田经济效益，充分反映了古代农业系统的创新精神与实践智慧。,桑基鱼塘作为一种传统综合经营模式，其将桑树种植与鱼塘养殖有机结合的经验，在江南及部分南方地区广为流传，通过农业科技推广、地方展览和民间传承，该模式已在全国农业示范区内得到认可和应用。,将桑树种植与鱼塘养殖相结合，桑叶养蚕，蚕粪和蚕蛹喂鱼，鱼塘淤泥肥桑，形成完整的生态循环系统。,"119.42,32.40"
