名称,所属类别,2级类别,原产地,种植地带,人为地点,生长环境,主要用途,营养价值,经济价值,经纬度
玉米,农作物,谷类作物,中美洲（墨西哥）,东北平原（黑龙江、吉林、辽宁）、华北平原（山东、河北）、西南地区（四川）,黑龙江;哈尔滨市,适宜温暖湿润气候，生长在深厚、排水良好的肥沃土壤中。,玉米是重要的粮食作物，广泛用于食品、饲料、工业生产等领域。玉米还可用于生物燃料、化工产品以及饲料加工等，具有重要的经济价值。,玉米富含膳食纤维、维生素B群及矿物质，尤其是维生素E和抗氧化物质，有助于改善肠胃健康和增强免疫力。,玉米不仅是重要粮食，还广泛用于工业酒精、燃料乙醇及生物塑料生产；其秸秆、苞叶和穗轴可制造造纸、包装和编织材料，提升农产品整体附加值。,"126.63,45.75"
水稻,农作物,谷类作物,中国长江流域/印度恒河流域,长江中下游（湖南、湖北、江西）、华南（广东、广西）、东北三江平原（黑龙江）,吉林;长春市,需要温暖湿润的环境和充足的水源，适合在泥质、排水不良的土壤中生长。,水稻是世界上最主要的粮食作物之一，供全球数十亿人食用。水稻除了作为主粮，还能加工成米粉、米酒等多种产品。,水稻含有丰富的碳水化合物、少量蛋白质及维生素B，能提供持续的能量支持，并对消化系统有益。,水稻作为主食来源，其谷粒加工成大米和面条；稻糠、稻草可用于生产饲料、肥料及建筑材料，助推粮食与副产品双向增值发展。,"125.32,43.90"
高粱,农作物,谷类作物,非洲撒哈拉以南地区,东北平原（辽宁、吉林）、黄河中下游（山西、河北）,山西;运城市,耐干旱，适合温暖气候，生长在排水良好、较为贫瘠的土壤中。,高粱主要用于食品和饲料，尤其适用于干旱地区的种植。它的茎秆也可用作建筑材料，种子可用于酒精和糖浆的生产。,高粱富含膳食纤维、铁、钾等矿物质，低糖高纤，能调节血糖，促进肠胃健康。,高粱适应性强，不仅可作粮食和饲料，还常用于酿酒和生物燃料生产；籽粒加工成糖浆、酒精，茎秆则用于建材及化工原料。,"111.00,35.02"
大麦,农作物,谷类作物,西亚（两河流域）,西北干旱区（甘肃、青海）、长江中下游（江苏）,江苏;扬州市,适宜寒冷地区，耐寒并能在干旱环境中生长，适合在排水良好、疏松的土壤中栽培。,大麦被广泛用于啤酒酿造、动物饲料以及食品加工。它含有丰富的营养成分，是一种重要的粮食和工业原料。,大麦富含膳食纤维、B族维生素和矿物质，具有降低胆固醇、改善血糖的作用。,大麦主要用于啤酒酿造和麦芽生产，同时作为优质饲料；其加工副产品在畜牧及食品工业中应用广泛，促进农业多元化发展。,"119.42,32.40"
小麦,农作物,谷类作物,西亚（新月沃地）,春小麦：东北（黑龙江）、西北（甘肃、宁夏）；冬小麦：华北平原（河南、山东）、黄淮海平原,黑龙江;佳木斯市,春小麦需要温暖湿润的气候，冬小麦则适合在温和干燥的气候中生长，适合深厚、肥沃的土壤。,小麦是世界上最重要的粮食作物之一，广泛用于制作面包、面条、饼干等食品。小麦还可用于啤酒酿造和饲料加工。,小麦是重要的碳水化合物来源，富含蛋白质、维生素B1、B3和矿物质，有助于维持心血管和神经系统健康。,小麦是主要粮食之一，其面粉用于制作面包、面条和糕点；麦麸、麦芽等副产品也广泛应用于饲料、发酵及食品深加工，增值效益显著。,"130.37,46.80"
青稞,农作物,谷类作物,青藏高原（大麦的耐寒变种）,青藏高原（西藏、青海、四川西部）,河南;周口市,适应高寒地区，生长在冷凉的气候中，土壤以排水良好的疏松土壤为主。,青稞是高原地区的重要粮食作物，特别在藏区应用广泛。它是青藏高原人民的主食，也可用于酿酒和制作传统食品。,青稞富含优质蛋白质和膳食纤维，具有抗氧化作用，有助于降低胆固醇并保护肠道。,青稞为高原特色作物，既供人食又用于酿酒，其耐寒高营养特点使得全株利用率高，副产品在保健食品和饲料中发挥重要作用。,"114.65,33.63"
黄豆,农作物,豆类植物,中国东北地区,东北（黑龙江、吉林）、黄淮流域（山东、河南）,西藏;林芝市,喜温暖湿润气候，需要充足阳光，生长在肥沃且排水良好的土壤中。,黄豆广泛用于食用、榨油以及饲料加工。豆制品（如豆腐、豆浆等）是多种植物性食品的重要组成部分。,黄豆富含植物蛋白、异黄酮及膳食纤维，有助于降低血脂，保护心血管健康。,黄豆是高蛋白油料作物，用于生产豆浆、豆腐和植物油；豆粕作为优质饲料广受欢迎，全产业链助推农产品高附加值转化。,"94.37,29.65"
绿豆,农作物,豆类植物,印度次大陆,华北（河北、山西）、东北（吉林）,黑龙江;绥化市,适宜温暖潮湿气候，生长在排水良好的土壤中，能耐受一定的干旱。,绿豆广泛用于制作汤、甜点和豆浆，具有清热解毒的功效，且在食品加工中有广泛应用。,绿豆富含蛋白质、纤维及矿物质，具有清热解毒、利尿的效果，是夏季解暑良品。,绿豆常用于制作绿豆汤、糕点和豆浆，同时可提炼淀粉和保健品；短生长期和高产量使其在食品加工及药品制造中具有显著经济效益。,"126.98,46.63"
芸豆,农作物,豆类植物,中南美洲（墨西哥至秘鲁）,西南（云南、四川）、西北（甘肃）,河北;保定市,适合在温暖湿润气候中生长，土壤要求肥沃、排水良好。,芸豆主要用于食品加工，作为蔬菜或干豆类食用。此外，芸豆在中医中也被用于治疗各种疾病。,芸豆富含膳食纤维、蛋白质、维生素B，具有帮助消化和调节血糖的功效。,芸豆作为常见豆类，其蛋白质和纤维含量丰富，可加工成豆制品；豆荚和豆秆同时用于生产饲料和有机肥，拓宽了农产品深加工领域。,"115.48,38.87"
红豆,农作物,豆类植物,中国南方/东南亚,西南（云南、四川）、西北（甘肃）,甘肃;张掖市,喜温暖湿润气候，适应多种土壤类型，但需良好的排水系统。,红豆常用于制作甜品、汤品以及糕点等，尤其在亚洲国家中，红豆的用途非常广泛。,红豆富含蛋白质、纤维和抗氧化物质，具有补血、促进新陈代谢的作用。,红豆是传统甜品和汤品的重要原料，其营养价值高；豆皮、豆渣可用于保健食品和饲料生产，为农产品加工提供多元化增值途径。,"100.45,38.93"
