ancient_title,ancient_description,ancient_year,ancient_img,modern_title,modern_description,modern_year,modern_img,member
汉代代田法,"赵过发明的垄沟轮换耕作系统，通过""岁代处""实现土壤休养，配合三脚耧车播种，使旱地亩产提高30%。敦煌汉简记载此法在河西走廊广泛推行。",-89,static/KnowledgePair/1_1.jpg,温控大棚自动喷淋系统,将汉代的代田法数字化，现代农业通过引入精准农业技术，实现了耕作方式的智能化转型。福建省漳州绿洲农业发展股份有限公司采用温控大棚自动喷淋系统，实现了农作物生长环境的智能调控，提升了作物产量和品质。,2022,static/KnowledgePair/2_1.jpg,"['三国屯田制','建安元年（公元196年），曹操采纳枣祗、韩浩的建议，在许都附近进行屯田，屯田制的推广促进了农业技术的传播和改进。',196,'static/KnowledgePair/3_1.jpg']
['北魏均田制','北魏孝文帝太和九年（公元485年），北魏颁布均田令，开始实施均田制，土地分配与代田法的用地养地理念有一定相似之处。隋唐时期继续沿用均田制，但因土地兼并严重而逐渐崩溃。',485,'static/KnowledgePair/4_1.jpg']
['宋元轮作制和复种制','公元581年至1368年（隋唐、五代、宋、辽、金、元时期），随着南方水田精耕细作技术的成熟，水旱轮作、稻麦两熟的复种制逐渐建立起来',1368,'static/KnowledgePair/5_1.jpg']"
《齐民要术》轮作防病,北魏时期，贾思勰在《齐民要术》中提出“谷田必须岁易”的轮作理念，强调豆类与谷物轮作以保持地力。书中详细描述了97种作物的栽培技术，奠定了东亚农业生态学的基础。,544,static/KnowledgePair/1_2.jpg,保护性耕作技术,借鉴《齐民要术》中的轮作智慧，中国农业科学院研发了玉米-大豆带状复合种植系统。该系统利用北斗导航技术，实现精准播种和轮作，提高作物产量，体现了古代“地力常新”的生态理念。,2024,static/KnowledgePair/2_2.jpg,"['三年四熟或二年三熟的轮作制','中国传统的轮作制度在部分地区得到了传承和发展。例如，山东、河北、陕西关中等地已普遍实行了三年四熟或二年三熟的轮作制。然而，由于社会动荡、科技水平有限等因素，轮作防病技术的发展相对缓慢，主要还是基于传统经验和实践',1840,'static/KnowledgePair/3_2.jpg']
['西方轮作技术的引入','19世纪中叶以后，随着西方列强的入侵，一些西方的农业技术和思想开始传入中国。西方的轮作制度，如欧洲的三圃式轮作、四圃式轮作等，逐渐被中国农业界所了解和学习。这些轮作方式在一定程度上丰富了中国的轮作体系，为后来的改进提供了借鉴',1900,'static/KnowledgePair/4_2.jpg']
['科学技术助力轮作防病','0世纪中叶以来，随着科学技术的不断进步，尤其是生物学、土壤学、病虫害防治学等学科的发展，人们对轮作防病的机理有了更深入的认识。例如，发现不同作物根系分泌物、残体等对土壤微生物群落结构和病原菌数量有影响，从而能够更有针对性地设计轮作模式，以达到更好的防病效果。同时，农业机械化的推进也使得轮作操作更加便捷和高效',1990,'static/KnowledgePair/5_2.jpg']"
《耒耜经》曲辕犁,陆龟蒙详细记载的江东曲辕犁，具有可调节犁评和犁箭，实现深耕浅耕自由切换。经复原测试，作业效率比直辕犁提高2倍，人力节省50%。,880,static/KnowledgePair/1_3.jpg,德州“吨半粮”创建之路,传承《耒耜经》所阐述的深耕原理，山东德州市在114万亩“吨半粮”核心区内，通过深耕等技术措施，小麦和玉米的年均亩产达到1490.1公斤，其中超过1500公斤的面积占比54.2%。,2023,static/KnowledgePair/2_3.jpg,"['宋代犁壁改进','宋代南方形成了犁、耙、耖的水田耕作体系，曲辕犁在南方水田中得到了广泛应用和进一步改进。犁壁的改进使得曲辕犁在翻土时更加高效，能够更好地适应南方水田的耕作需求。',960,'static/KnowledgePair/3_3.jpg']
['《王祯农书》记载','元代王祯的《王祯农书》对曲辕犁进行了详细的记载，进一步总结了曲辕犁的构造和使用方法。曲辕犁在元代继续得到推广和使用，其技术也逐渐成熟，成为当时农业生产的重要工具。',1271,'static/KnowledgePair/4_3.jpg']
['明代曲辕犁','明代农业技术进一步发展，曲辕犁的使用更加广泛。曲辕犁在明代的改进主要体现在犁铧的材质和形状上，更加坚固耐用，能够适应不同土壤条件的耕作需求。',1368,'static/KnowledgePair/5_3.jpg']
['清代曲辕犁','清代曲辕犁的使用更加普及，成为农业生产中不可或缺的工具。在清代，曲辕犁的改进主要集中在犁铧的材质和形状上，如采用更加坚固的铁制犁铧，以及对犁壁的进一步优化，使其在翻土时更加高效。',1644,'static/KnowledgePair/6_3.jpg']"
宋代占城稻引种,"1012年宋真宗遣使从越南引进早熟占城稻，生育期仅100天，使长江流域实现稻麦两熟制，粮食产量提升40%，奠定""苏湖熟天下足""基础。",1012,static/KnowledgePair/1_4.jpg,中非农业合作论坛,延续宋代引进占城稻的战略，中国农业科学院与非洲水稻中心合作，培育出适应非洲环境的绿色超级稻品种。截至2019年，这些品种已在非洲9个国家推广，累计种植面积达5.7万公顷，平均增产20%以上。,2019,static/KnowledgePair/2_4.jpg,"['宋代品种改良与推广','占城稻在江南地区广泛种植，并逐渐改良出早占城、中占城、晚占城和寒占城等新品种，适应不同地区的气候和土壤条件',1090,'static/KnowledgePair/3_4.jpg']['抗旱作用','咸淳七年（1271年）抚州一带遭遇严重干旱，但占城稻仍能获得丰收。',1271,'static/KnowledgePair/4_4.jpg']['明代本地化与双季稻推广','占城稻在长江流域实现了本地化，成为当地的主要水稻品种之一。明洪武十二年（1379年）《苏州府志》记载，占城稻在苏州地区广泛种植，并且能够实现再生稻的种植。',1368,'static/KnowledgePair/5_4.jpg']['清代主导品种与稻麦轮作','占城稻在长江流域继续作为主导品种种植，并进一步适应当地的自然环境和气候变化。',1644,'static/KnowledgePair/6_4.jpg']"
宋代踏犁革新,江南地区发明的曲辕踏犁，较直辕犁省力50%，实现深耕达30厘米。配合铁刃改进，使宋代水稻亩产突破200斤（唐亩产约150斤）。,1120,static/KnowledgePair/1_5.jpg,5G物联网深松机,传承宋代曲辕犁的省力原理，中国一拖集团有限公司（YTO）在2024年推出了5G物联网深松机。该设备配备土壤硬度实时传感器，可自动调节耕作深度，作业效率达到每分钟40米。这款深松机的推出，标志着我国农业机械化水平的进一步提升。,2024,static/KnowledgePair/2_5.jpg,"['元代踏犁','元代王祯的《农书》中记载了踏犁的使用，说明踏犁在元代继续得到应用，其形制和操作方法与宋代相似，依然是在缺牛地区的重要耕作工具。长脚者跖铧，得土多也。今谓之踏犁者，旧用铧，亦用镵。',1271,'static/KnowledgePair/3_5.jpg']
['明代踏犁','明代科学家宋应星在其著作《天工开物》中详细记录了踏犁的设计与使用方法，为后人留下了宝贵的资料。踏犁在明代的使用逐渐减少，但在一些缺牛的地区仍有使用，其技术也得到了传承。',1368,'static/KnowledgePair/4_5.jpg']
['清代踏犁淡出','清代踏犁的使用逐渐减少，但在一些缺牛的偏远地区仍有使用。随着农业技术的发展和畜力的逐渐充足，踏犁的重要性逐渐降低。',1644,'static/KnowledgePair/5_5.jpg']"
《陈旉农书》土壤学说,"首次提出""地力常新壮""理论，强调粪肥施用与土壤改良，记载火粪（草木灰）、沤粪等12种肥料制作方法，比欧洲同类理论早600年。",1149,static/KnowledgePair/1_6.jpg,生物炭土壤修复,借鉴《陈旉农书》中的“地力常新”理念，中国农业大学团队开发了秸秆热解生物炭技术。该技术在东北黑土地应用后，有机质含量显著提升，土壤肥力得到改善。2024年，该项目入选联合国粮农组织的推广项目，体现了其在可持续农业发展中的重要作用。,2024,static/KnowledgePair/2_6.jpg,"['南宋实践','陈旉的土壤改良理论在南宋时期得到了广泛传播和实践。其著作被地方官吏刊印传播，成为南方水田地区农业生产的重要指导思想。特别是在稻田耕作中，强调合理施肥、整地和晒田等技术措施，促进了土壤改良和农业生产效率的提高',1200,'static/KnowledgePair/3_6.jpg']
['元代肥料技术,'元代农学著作中继承了陈旉的土壤改良思想。例如，王祯的《农书》中对土壤改良和施肥技术进行了进一步的总结和推广，强调了肥料在农业生产中的重要性。',1271,'static/KnowledgePair/4_6.jpg']
['明代《天工开物》','明代农业技术进一步发展，陈旉的土壤学说继续得到传承和应用。明代科学家宋应星在《天工开物》中对土壤改良和施肥技术进行了详细记录，进一步丰富了土壤学说的内容',1368,'static/KnowledgePair/5_6.jpg']
['清代《齐民要术校释》','清代农学著作中对土壤改良和施肥技术进行了更深入的探讨，强调了科学施肥和土壤管理的重要性。清代的《齐民要术校释》等著作对陈旉的土壤学说进行了进一步的总结和推广',1644,'static/KnowledgePair/6_6.jpg']"
元代《农桑辑要》,"首部官修综合性农书，系统总结养蚕""十体三光八宜""经验，提出桑树嫁接技术规范。记载的蚕室温度控制法与现代恒温养蚕原理高度吻合。",1273,static/KnowledgePair/1_7.jpg,人工合成蛛丝蚕,传承元代《农桑辑要》中的温控经验，西南大学夏庆友教授团队王翊教授课题组在2023年揭示了蜘蛛牵引丝三阶合成的新机制，绘制了全球首张蛛丝形成机制的分子细胞图谱，为人工合成蜘蛛丝提供了重要理论基础。,2023,static/KnowledgePair/2_7.jpg,"['经济作物栽培技术','至元二十三年（1286年），《农桑辑要》修订版补充了南方作物如棉花、苎麻、西瓜等的栽培技术，标志着经济作物栽培技术的引入和发展',1286,'static/KnowledgePair/3_7.jpg']
['明代官修农书,'明代《永乐大典》收录了《农桑辑要》，使其得以保存和传播。明代继续推广书中的农业技术，特别是在北方地区，强调农耕与蚕桑的结合',1368,'static/KnowledgePair/4_7.jpg']
['清代官修农书','清代《四库全书》收录了《农桑辑要》，并对其内容进行了重新整理和补充。清代继续推广书中的农业技术，特别是在北方地区的精耕细作和蚕桑生产方面',1644,'static/KnowledgePair/5_7.jpg']"
《王祯农书》水转大纺车,元代水力纺织机械，具备32锭同步纺纱能力，日产量是手摇纺车的30倍，14世纪传入欧洲后直接影响工业革命纺织机械发展。,1313,static/KnowledgePair/1_8.jpg,量子点转光农膜,继承元代水转大纺车将水能转化为机械能的思想，现代科技研发出量子点转光农膜，它是一种结合现代纳米技术与农业生产的创新产品。该农膜通过在薄膜材料中嵌入量子点，能够将太阳光中的紫外光和黄绿光转换为植物光合作用更有效的红光和蓝光，从而提高作物的光能利用效率，促进生长发育。,2023,static/KnowledgePair/2_8.jpg,"['技术传承与地方应用','明代继续传承水转大纺车技术，尽管其应用范围有所缩小，但在一些地区仍有使用。明代科学家徐光启在其著作《农政全书》中也记载了水转大纺车的相关内容，进一步传播了这一技术',1368,'static/KnowledgePair/3_8.jpg']
['清代逐渐淡出','清代随着棉纺织业的兴起，水转大纺车因不适用于短纤维的棉花而逐渐淡出历史舞台。尽管如此，其技术原理和应用经验仍被后世所记载和研究',1644,'static/KnowledgePair/4_8.jpg']
['水转大纺车技术西传','18世纪，水转大纺车的技术知识通过传教士等途径传入欧洲，对欧洲近代纺织机械的改进产生了重要影响。英国的阿克莱水力纺纱机被认为是在中国水转大纺车技术的基础上改良而来的',1750,'static/KnowledgePair/5_8.jpg']"
明清梯田水利系统,"云南哈尼梯田""森林-村寨-梯田-水系""四素同构系统，通过1300多条水渠实现自流灌溉，2010年被FAO列为全球重要农业文化遗产。",1400,static/KnowledgePair/1_9.jpg,哈尼梯田遗产区数字监管平台,借鉴哈尼梯田“四素同构”生态智慧，元阳县于2023年建成哈尼梯田遗产区数字监管平台。该平台在坝达、多依树、老虎嘴三大片区安装了36个监测探头和3架无人机，结合卫星遥感、大数据、云计算等技术，实时监测梯田的生态环境和农作物生长状况，提升了梯田保护与管理的效率。,2025,static/KnowledgePair/2_9.jpg,"['梯田水利工程完善','清代的梯田水利系统更加注重生态保护和可持续发展。例如，凤堰梯田的灌溉系统包括库塘、坝、渠等设施，充分体现了人与自然和谐共生的理念。清代的梯田水利工程不仅提高了农业生产效率，还有效防止了水土流失',1644,'static/KnowledgePair/3_9.jpg']
['科学化与系统化','20世纪初期，随着科学管理理念的引入，梯田水利系统逐渐向科学化和系统化发展。这一时期的梯田水利工程更加注重水资源的合理利用和生态保护，为现代农业的发展奠定了基础。',1900,'static/KnowledgePair/4_9.jpg']"
《救荒本草》野菜图谱,朱橚编撰的食用野生植物指南，图文并茂记载414种救荒植物，包含毒性测试与食用方法，是现代植物分类学与营养学的重要先驱。,1406,static/KnowledgePair/1_10.jpg,“花伴侣专业版”APP,"传承明代《救荒本草》对植物资源的系统记载，中国科学院植物研究所开发了“花伴侣专业版”（FlowerMate2.0）APP。该应用利用人工智能技术，基于中国植物图像库（PPBC）超过1600万幅图片的数据，能够识别约20,000种中国常见植物，涵盖96%的常见物种，识别准确率达到91%。“花伴侣专业版”APP的开发，使得植物分类学研究成果走出实验室，成为公众可获取的知识，极大地促进了植物多样性研究和公众科学素养的提升。",2024,static/KnowledgePair/2_10.jpg,"['清代植物学的系统化','清代著名植物学家吴其浚编撰的《植物名实图考》，是中国历史上第一部系统的植物学著作。全书记录了1700多种植物，是中国古代植物学的重要里程碑。吴其浚通过实地调查和文献考证，创立了较为科学的植物分类方法',1848,'static/KnowledgePair/3_10.jpg']
['现代植物学体系化','胡先骕、钱崇澍等中国第一代植物学家亦注重本土树种的整理。为此，他们积极筹设调查机构，开展大规模植物采集。1937年，《中国树木分类学》和《中国森林植物志》第一册出版，标志着中国学界已初步建立起本土树种的科学谱系',1937,'static/KnowledgePair/4_10.jpg']"
